Topic Match Score,Title,Year,Authors,Abstract,Journal,Citation Count,Citation Velocity,DOI,Link,External IDs,Is Open Access,Open Access Link,Semantic Scholar ID,Relevance Summary
95.2,"TaDaa: real time Ticket Assignment Deep learning Auto Advisor for customer support, help desk, and issue ticketing systems",2022,"Leon Feng, ..., and Bill Liu","This paper proposes TaDaa: Ticket Assignment Deep learning Auto Advisor, which leverages the latest Transformers models and machine learning techniques quickly assign issues within an organization, like customer support, help desk and alike issue ticketing systems. The project provides functionality to 1) assign an issue to the correct group, 2) assign an issue to the best resolver, and 3) provide the most relevant previously solved tickets to resolvers. We leverage one ticketing system sample dataset, with over 3k+ groups and over 10k+ resolvers to obtain a 95.2% top 3 accuracy on group suggestions and a 79.0% top 5 accuracy on resolver suggestions. We hope this research will greatly improve average issue resolution time on customer support, help desk, and issue ticketing systems.",ArXiv,5,2.0,10.48550/arXiv.2207.11187,https://doi.org/10.48550/arXiv.2207.11187,"{'ArXiv': '2207.11187', 'DBLP': 'journals/corr/abs-2207-11187', 'DOI': '10.48550/arXiv.2207.11187', 'CorpusId': 251018732}",True,"{'url': 'http://arxiv.org/pdf/2207.11187', 'status': 'GREEN'}",e6aa0e07abd0d1ec48f7d6fa3b107f6b506123b0,"- Focuses on assigning tickets to groups/resolvers using Transformers.  
- Describes methods for group and resolver assignment, plus retrieval of relevant past tickets to assist resolution.  
- Does not address sentiment classification or clustering, limiting relevance to the full workflow of the desired topic.  "
95.0,AI-Powered Customer Support Automation: Transforming Ticket Creation and Management.,2025,Mohammad Travadi,"The increasing frequency of customer inquiries and complaints in the digital era has put a strain on traditional support systems, resulting in inefficiencies and delayed responses. This paper describes an artificial intelligence- driven ticket automation system that uses advanced Natural Language Processing (NLP) techniques to accelerate ticket production, classification, and resolution. Using frameworks like LangChain, LangGraph, and Retrieval-Augmented Generation (RAG), the system automates operations, increases response accuracy, and interacts smoothly with current support structures. The methodology entails preparing client queries for ticket classification, prioritizing, and multilingual translation, with Large Language Models (LLMs) fine-tuned for typical support scenarios. The system also accepts unsupervised queries and uses parallel processing to manage numerous tickets simultaneously, increasing throughput.  Evaluation indicators, such as efficiency gains (targeted at 10%) and response accuracy, demonstrate the system's real- world usefulness. The key findings reveal that manual classification errors are eliminated, and complicated or multilingual requests receive faster responses. However, issues remain in addressing ambiguous inquiries and maintaining broad AI compatibility, indicating areas for future improvement. Ongoing work will strengthen categorization algorithms, broaden industry support, and incorporate advanced sentiment analysis to improve issue priority.  Key Words: customer support, ticket automation, natural language processing, ai integration, multilingual support, workflow optimization.",INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,0,0.0,10.55041/ijsrem40922,https://doi.org/10.55041/ijsrem40922,"{'DOI': '10.55041/ijsrem40922', 'CorpusId': 275776301}",False,,75e0d1f36b2bf45ca6a66cc4179a11bd1c56f842,"- Provides an AI-driven ticket automation system using NLP techniques.  
- Focuses on ticket classification, prioritization, and multilingual translation, leveraging fine-tuned LLMs like LangChain and RAG for support workflows.  
- Mentions sentiment analysis as future work, making it partially relevant; doesn't explicitly address clustering or full workflow integration.  "
94.9,LLM-based Approaches for Automatic Ticket Assignment: A Real-world Italian Application,2023,"Nicola Arici, ..., and I. Serina","IT service providers need to take care of errors, malfunctions, customizations and other issues every day. This is usually done through tickets: brief reports that describe a technical issue or a specific request sent by the users of the service. Tickets are often read by one or more human employees and then assigned to technicians or programmers in order to solve the raised issue. However, the increasing volume of such requests is leading the way to the automatization of this task. Since these tickets are written in natural language, in this paper we aim to exploit the new powerful pre-trained Large Language Model (LLM) GPT-4 and its knowledge in order to understand the problem described in the tickets and to assign them to the right employee. In particular, we focus our work on how to formulate the request to the LLM, which information is needed and the performance of different zero-shot learning, few-shot learning and ensemble learning approaches. Our study is based on a real-world ticket dataset provided by an Italian company which supplies IT solutions for creating and managing online courses.",Journal Not Provided,2,1.0,,https://www.semanticscholar.org/paper/cdce3f51dfb901266906827d8286042c6eb93a1b,"{'DBLP': 'conf/nl4ai/AriciPGSS23', 'CorpusId': 266055483}",False,,cdce3f51dfb901266906827d8286042c6eb93a1b,"- **Provides a study on using GPT-4 for ticket assignment.**  
- Focuses on formulating LLM inputs and compares zero-shot, few-shot, and ensemble methods using real-world IT ticket data.  
- Does not address sentiment classification, clustering, or multi-task integration workflows; focuses solely on department/employee assignment.  "
94.6,Ticket-BERT: Labeling Incident Management Tickets with Language Models,2023,Zhexiong Liu,"An essential aspect of prioritizing incident tickets for resolution is efficiently labeling tickets with fine-grained categories. However, ticket data is often complex and poses several unique challenges for modern machine learning methods: (1) tickets are created and updated either by machines with pre-defined algorithms or by engineers with domain expertise that share different protocols, (2) tickets receive frequent revisions that update ticket status by modifying all or parts of ticket descriptions, and (3) ticket labeling is time-sensitive and requires knowledge updates and new labels per the rapid software and hardware improvement lifecycle. To handle these issues, we introduce Ticket- BERT which trains a simple yet robust language model for labeling tickets using our proposed ticket datasets. Experiments demonstrate the superiority of Ticket-BERT over baselines and state-of-the-art text classifiers on Azure Cognitive Services. We further encapsulate Ticket-BERT with an active learning cycle and deploy it on the Microsoft IcM system, which enables the model to quickly finetune on newly-collected tickets with a few annotations.",ArXiv,3,1.9,10.48550/arXiv.2307.00108,https://doi.org/10.48550/arXiv.2307.00108,"{'DBLP': 'journals/corr/abs-2307-00108', 'ArXiv': '2307.00108', 'DOI': '10.48550/arXiv.2307.00108', 'CorpusId': 254874498}",True,"{'url': 'http://arxiv.org/pdf/2307.00108', 'status': 'CLOSED'}",175996174c45d1c196d6dc2ad8e4f17bad4281e7,"- Proposes a BERT-based model for ticket categorization in incident management.  
- Focuses on fine-grained labeling of tickets, addressing challenges like frequent updates, time sensitivity, and domain complexity using customized datasets.  
- Relevant for priority/department assignment but lacks emphasis on sentiment classification or clustering; uses BERT, not broader LLMs like GPT.  "
94.3,IT Service Desk Ticket Classification via Large Language Models,2024,"Ezgi Paket, ..., and Furkan Salman","Service desk systems are utilized in companies to enable employees to forward their issues or requests to IT support operators. These tickets are assigned by support operators to the appropriate categories based on their personal experiences and the manually prepared keyword-matching catalogs. The dependency on individual experiences and the difficulty of maintaining and updating manually prepared catalogs increase the misclassification rate. This study aims to address a challenging multi-class classification problem in the Turkish language, which includes 172 classes, by utilizing large language models (LLMs). For this purpose, next-generation LLMs such as Titan, Llama, and Mistral are compared with BERT-based models using zero-shot, fine-tuning, and RAG methods within this st udy. This research shows that BERT-based classification models outperform the LLMs, which are not specifically trained for classification tasks with several classes.",2024 9th International Conference on Computer Science and Engineering (UBMK),0,0.0,10.1109/UBMK63289.2024.10773473,https://doi.org/10.1109/UBMK63289.2024.10773473,"{'DOI': '10.1109/UBMK63289.2024.10773473', 'CorpusId': 274642672}",False,,b723e365040fbf2218e124c8b086a0a2b1c64a32,"- **Provides a comparison of LLMs for IT ticket classification tasks.**  
- Explores multi-class classification in Turkish with 172 categories using zero-shot, fine-tuning, and RAG techniques across LLMs.  
- Focuses solely on category assignment, lacks sentiment analysis, clustering, or end-to-end ticket workflow optimization."
21.1,Multi-Label Classification for Low-Resource Issue Tickets with BERT,2024,"Chawanee Sungthong, ..., and Pokpong Songmuang","This study focuses on the problem in the field of issue ticketing systems, where the need for human involvement in classifying work task in the ticket often results in insufficient classification. Our primary focus is on a problem associated with multi-label classification. A significant challenge in this study is the dependency of our dataset on low resources, which is different from the large datasets usually used in current multi-label text classification studies. Therefore, we propose a pre-training approach for our low-resource dataset. Our methodology applies several embedding techniques, including TF-IDF, Word2Vec, and BERT (WangchanBERTa and PhayaThaiBERT). The classification models, such as Logistic Regression, Support Vector Classifiers, Decision Trees, Neural Networks, and Deep Neural Networks, are experimented in this study to assess their performance in a low-resource environment. According to our experimental results, a combination of PhayaThaiBERT and Deep Neural Networks outperforms conventional methods. The combination yielded an F1 score of 0.769 on the test dataset.",2024 IEEE International Conference on Cybernetics and Innovations (ICCI),0,0.0,10.1109/ICCI60780.2024.10532457,https://doi.org/10.1109/ICCI60780.2024.10532457,"{'DOI': '10.1109/ICCI60780.2024.10532457', 'CorpusId': 269953135}",False,,79aceee33706bc719784f652194d3b0c2c62e9b5,"- Provides multi-label classification for low-resource ticket datasets using BERT.  
- Explores embedding techniques (e.g., PhayaThaiBERT) and compares models, achieving strong results (F1 = 0.769) with BERT plus Deep Neural Networks.  
- Limited to classification tasks; does not address clustering, sentiment analysis, or integrated LLM workflows specific to ticket management systems.  "
19.5,A multi-level approach for hierarchical Ticket Classification,2022,"Matteo Marcuzzo, ..., and A. Albarelli","The automatic categorization of support tickets is a fundamental tool for modern businesses. Such requests are most commonly composed of concise textual descriptions that are noisy and filled with technical jargon. In this paper, we test the effectiveness of pre-trained LMs for the classification of issues related to software bugs. First, we test several strategies to produce single, ticket-wise representations starting from their BERT-generated word embeddings. Then, we showcase a simple yet effective way to build a multi-level classifier for the categorization of documents with two hierarchically dependent labels. We experiment on a public bugs dataset and compare our results with standard BERT-based and traditional SVM classifiers. Our findings suggest that both embedding strategies and hierarchical label dependencies considerably impact classification accuracy.",Journal Not Provided,4,1.3,,https://www.semanticscholar.org/paper/28abffd02d8d2befd083e9fb3c07b57f85db0d4f,"{'DBLP': 'conf/coling/MarcuzzoZSGGA22', 'ACL': '2022.wnut-1.22', 'CorpusId': 252818937}",False,,28abffd02d8d2befd083e9fb3c07b57f85db0d4f,"- Provides a multi-level classification approach for support ticket categorization using pre-trained language models.  
- Focuses on hierarchical classification of software bug tickets using BERT embeddings and evaluates performance against traditional methods.  
- Relevant to department assignment but lacks discussion of sentiment analysis, priority assignment, or clustering in ticket systems.  "
18.5,Discovering accurate deep learning based predictive models for automatic customer support ticket classification,2021,"P. Zicari, ..., and L. Pontieri","Ticket Management Systems are widespread in disparate kinds of companies and organizations, as they represent a fundamental tool for handling customer requests and issues in an efficient and effective manner. In particular, accurately categorizing incoming tickets is a key task in real-life application settings (e.g., helpdesk/CRM systems and bug tracking systems), in order to improve ticket processing efficiency and effectiveness (e.g., in terms of customer satisfaction). In this work, we propose a comprehensive ticket-categorization analysis that relies on inducing and exploiting a heterogeneous ensemble of deep learning architectures, in addition to a range of functionalities for acquiring, integrating and pre-processing ticket-related information coming from different channels (e.g. mail, chat, web form, etc.). Experimental results conducted on the specific application scenario concerning the data of a publicly available ticket-mining dataset have proven the effectiveness of the framework in different ticket categorization tasks.",Proceedings of the 36th Annual ACM Symposium on Applied Computing,12,3.1,10.1145/3412841.3442109,https://doi.org/10.1145/3412841.3442109,"{'DBLP': 'conf/sac/ZicariFGP21', 'DOI': '10.1145/3412841.3442109', 'CorpusId': 233353978}",False,,42afa849075d0bdbdb01de3098a7420ded2542b1,"- **Provides** a framework for customer support ticket categorization using ensemble deep learning architectures.  
- **Explains** how deep learning models classify tickets across channels (e.g., email, chat) to improve processing efficiency and customer satisfaction.  
- **Lacks** explicit mention of large language models or specific tasks like sentiment classification, priority setting, and clustering in ticket systems.  "
17.3,Supervised Text Classification using Text Search,2020,N. Mondal and Mrunal Lohia,"Supervised text classification is a classical and active area of ML research. In large enterprise, solutions to this problem has significant importance. This is specifically true in ticketing systems where prediction of the type and subtype of tickets given new incoming ticket text to find out optimal routing is a multi billion dollar industry.  In this paper authors describe a class of industrial standard algorithms which can accurately ( 86\% and above ) predict classification of any text given prior labelled text data - by novel use of any text search engine.  These algorithms were used to automate routing of issue tickets to the appropriate team. This class of algorithms has far reaching consequences for a wide variety of industrial applications, IT support, RPA script triggering, even legal domain where massive set of pre labelled data are already available.",ArXiv,1,0.2,,https://www.semanticscholar.org/paper/16998ba4c8d760d56d465df35d9bf24ff8715f48,"{'MAG': '3109502953', 'ArXiv': '2011.13832', 'DBLP': 'journals/corr/abs-2011-13832', 'CorpusId': 227208895}",False,,16998ba4c8d760d56d465df35d9bf24ff8715f48,"- Proposes text classification algorithms using text search for ticket routing.  
- Focuses on automating ticket routing to appropriate departments using labeled data with industrial-level performance (86%+ accuracy).  
- Does not use large language models (LLMs); relies on traditional text search methods, so not directly relevant to the topic.  "
16.6,ClassifAI: Automating Issue Reports Classification using Pre-Trained BERT (Bidirectional Encoder Representations from Transformers) Language Models,2024,"Khubaib Amjad Alam, ..., and Muhammad Uzair","The utilization of Issue Tracking Systems by users to systematically manage and monitor issue reports within their repositories has become indispensable. An issue report encapsulates a wealth of software-related information, encompassing problem descriptions, requests for new features and inquiries about the software product to name a few. As the volume of these issues escalates, manual management becomes increasingly challenging, prompting the exploration of automated approaches for more effective handling. This paper introduces ClassifAI 1, an automated Issue Report Categorization approach built on the foundation of the Transformer-based pre-trained RoBERTa-Large model. ClassifAI proficiently classifies issue reports into three primary categories: Bug report, Enhancement/feature request, and Question. The process involves cleaning and preprocessing data sets provided for the NLBSE’24 [7] tool competition, followed by fine-tuning the pre-trained RoBERTa model on the refined data set. The experimental evaluation of ClassifAI is performed on approximately 1500 issue reports belonging to five different projects. The results indicate that RoBERTa-Large fine tuned variant demonstrates an acceptable level of performance by achieving a $83.2 \%$ F1-score (micro average).CCS CONCEPTS • Software and its engineering → Software libraries and repositories; Maintaining software; • Applied computing → Document management and text processing;1https://github.com/HarrisAamir/Issue-Report-Classification-NLBSE-2024",2024 IEEE/ACM International Workshop on Natural Language-Based Software Engineering (NLBSE),0,0.0,,https://www.semanticscholar.org/paper/a2074af5c9083843bf7d1b629c86ec5421c0b27b,{'CorpusId': 272305605},False,,a2074af5c9083843bf7d1b629c86ec5421c0b27b,"- Provides an automated issue report categorization using a pre-trained RoBERTa-Large model.  
- Focuses on classifying issue reports into three categories (Bug, Feature Request, Question) using fine-tuned RoBERTa on software repositories.  
- Does not address sentiment, ticket clustering, or priority/department assignment, limiting relevance to broader ticket management workflows.  "
